03_一般会計歳入予算款別内訳,,
単位：千円,,
,,
区分,平成31年度,平成30年度
都税,"5,503,164,711","5,233,161,357"
地方譲与税,"290,826,352","245,802,859"
助成交付金,"30,441","30,033"
地方特例交付金,"20,313,980","6,056,369"
特別交付金,"3,006,586","3,060,645"
,,
分担金及負担金,"15,246,059","16,614,876"
使用料及手数料,"87,767,184","87,607,273"
国庫支出金,"362,071,192","353,435,873"
財産収入,"35,682,130","44,276,616"
寄附金,"61,000","61,000"
,,
繰入金,"596,883,053","450,330,327"
諸収入,"336,351,312","394,905,772"
都債,"209,595,000","210,656,000"
繰越金,"1,000","1,000"
,,
合計,"7,461,000,000","7,046,000,000"
